iter 100 eval tensor(5.7508, device='cuda:0', dtype=torch.float64) best tensor(5.7508, device='cuda:0', dtype=torch.float64) error tensor(20.8265, device='cuda:0', dtype=torch.float64) time 37
iter 1900 eval tensor(4.9382, device='cuda:0', dtype=torch.float64) best tensor(4.9382, device='cuda:0', dtype=torch.float64) error tensor(3.7640, device='cuda:0', dtype=torch.float64) time 532
iter 2000 eval tensor(4.9454, device='cuda:0', dtype=torch.float64) best tensor(4.9382, device='cuda:0', dtype=torch.float64) error tensor(3.8950, device='cuda:0', dtype=torch.float64) time 559
iter 2100 eval tensor(4.9381, device='cuda:0', dtype=torch.float64) best tensor(4.9381, device='cuda:0', dtype=torch.float64) error tensor(3.7350, device='cuda:0', dtype=torch.float64) time 587
iter 2200 eval tensor(4.9229, device='cuda:0', dtype=torch.float64) best tensor(4.9229, device='cuda:0', dtype=torch.float64) error tensor(3.4145, device='cuda:0', dtype=torch.float64) time 615
iter 2300 eval tensor(4.9318, device='cuda:0', dtype=torch.float64) best tensor(4.9229, device='cuda:0', dtype=torch.float64) error tensor(3.6185, device='cuda:0', dtype=torch.float64) time 642
iter 2400 eval tensor(4.9259, device='cuda:0', dtype=torch.float64) best tensor(4.9229, device='cuda:0', dtype=torch.float64) error tensor(3.5255, device='cuda:0', dtype=torch.float64) time 670
iter 2500 eval tensor(4.9265, device='cuda:0', dtype=torch.float64) best tensor(4.9229, device='cuda:0', dtype=torch.float64) error tensor(3.5125, device='cuda:0', dtype=torch.float64) time 697
iter 2600 eval tensor(4.9112, device='cuda:0', dtype=torch.float64) best tensor(4.9112, device='cuda:0', dtype=torch.float64) error tensor(3.1845, device='cuda:0', dtype=torch.float64) time 725
iter 2700 eval tensor(4.9093, device='cuda:0', dtype=torch.float64) best tensor(4.9093, device='cuda:0', dtype=torch.float64) error tensor(3.1465, device='cuda:0', dtype=torch.float64) time 753
iter 2800 eval tensor(4.9092, device='cuda:0', dtype=torch.float64) best tensor(4.9092, device='cuda:0', dtype=torch.float64) error tensor(3.1550, device='cuda:0', dtype=torch.float64) time 781
iter 2900 eval tensor(4.9159, device='cuda:0', dtype=torch.float64) best tensor(4.9092, device='cuda:0', dtype=torch.float64) error tensor(3.2800, device='cuda:0', dtype=torch.float64) time 809
iter 3000 eval tensor(4.9288, device='cuda:0', dtype=torch.float64) best tensor(4.9092, device='cuda:0', dtype=torch.float64) error tensor(3.5680, device='cuda:0', dtype=torch.float64) time 836
iter 3100 eval tensor(4.9194, device='cuda:0', dtype=torch.float64) best tensor(4.9092, device='cuda:0', dtype=torch.float64) error tensor(3.3395, device='cuda:0', dtype=torch.float64) time 864
iter 3200 eval tensor(4.9011, device='cuda:0', dtype=torch.float64) best tensor(4.9011, device='cuda:0', dtype=torch.float64) error tensor(2.9815, device='cuda:0', dtype=torch.float64) time 893
iter 3300 eval tensor(4.9055, device='cuda:0', dtype=torch.float64) best tensor(4.9011, device='cuda:0', dtype=torch.float64) error tensor(3.0800, device='cuda:0', dtype=torch.float64) time 920
iter 3400 eval tensor(4.8990, device='cuda:0', dtype=torch.float64) best tensor(4.8990, device='cuda:0', dtype=torch.float64) error tensor(2.9425, device='cuda:0', dtype=torch.float64) time 948
iter 3500 eval tensor(4.8981, device='cuda:0', dtype=torch.float64) best tensor(4.8981, device='cuda:0', dtype=torch.float64) error tensor(2.9190, device='cuda:0', dtype=torch.float64) time 976
iter 3600 eval tensor(4.8960, device='cuda:0', dtype=torch.float64) best tensor(4.8960, device='cuda:0', dtype=torch.float64) error tensor(2.8615, device='cuda:0', dtype=torch.float64) time 1004
iter 3700 eval tensor(4.9003, device='cuda:0', dtype=torch.float64) best tensor(4.8960, device='cuda:0', dtype=torch.float64) error tensor(2.9655, device='cuda:0', dtype=torch.float64) time 1032
iter 3800 eval tensor(4.9013, device='cuda:0', dtype=torch.float64) best tensor(4.8960, device='cuda:0', dtype=torch.float64) error tensor(2.9775, device='cuda:0', dtype=torch.float64) time 1060
iter 3900 eval tensor(4.9035, device='cuda:0', dtype=torch.float64) best tensor(4.8960, device='cuda:0', dtype=torch.float64) error tensor(3.0245, device='cuda:0', dtype=torch.float64) time 1088
iter 4000 eval tensor(4.9089, device='cuda:0', dtype=torch.float64) best tensor(4.8960, device='cuda:0', dtype=torch.float64) error tensor(3.1285, device='cuda:0', dtype=torch.float64) time 1116
iter 4100 eval tensor(4.8855, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.6345, device='cuda:0', dtype=torch.float64) time 1143
iter 4200 eval tensor(4.9005, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.9540, device='cuda:0', dtype=torch.float64) time 1171
iter 4300 eval tensor(4.8873, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.6770, device='cuda:0', dtype=torch.float64) time 1199
iter 4400 eval tensor(4.8942, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.8245, device='cuda:0', dtype=torch.float64) time 1227
iter 4500 eval tensor(4.8976, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.9020, device='cuda:0', dtype=torch.float64) time 1254
iter 4600 eval tensor(4.8957, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.8655, device='cuda:0', dtype=torch.float64) time 1282
iter 4700 eval tensor(4.8983, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.9285, device='cuda:0', dtype=torch.float64) time 1310
iter 4800 eval tensor(4.8891, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.7110, device='cuda:0', dtype=torch.float64) time 1338
iter 4900 eval tensor(4.8912, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.7620, device='cuda:0', dtype=torch.float64) time 1365
iter 5000 eval tensor(4.8932, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.7980, device='cuda:0', dtype=torch.float64) time 1393
iter 5100 eval tensor(4.8954, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.8635, device='cuda:0', dtype=torch.float64) time 1421
iter 5200 eval tensor(4.8859, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.6730, device='cuda:0', dtype=torch.float64) time 1449
iter 5300 eval tensor(4.8943, device='cuda:0', dtype=torch.float64) best tensor(4.8855, device='cuda:0', dtype=torch.float64) error tensor(2.8410, device='cuda:0', dtype=torch.float64) time 1477
iter 5400 eval tensor(4.8827, device='cuda:0', dtype=torch.float64) best tensor(4.8827, device='cuda:0', dtype=torch.float64) error tensor(2.6065, device='cuda:0', dtype=torch.float64) time 1505
iter 5500 eval tensor(4.9007, device='cuda:0', dtype=torch.float64) best tensor(4.8827, device='cuda:0', dtype=torch.float64) error tensor(2.9645, device='cuda:0', dtype=torch.float64) time 1533
iter 5600 eval tensor(4.8840, device='cuda:0', dtype=torch.float64) best tensor(4.8827, device='cuda:0', dtype=torch.float64) error tensor(2.6055, device='cuda:0', dtype=torch.float64) time 1561
iter 5700 eval tensor(4.8898, device='cuda:0', dtype=torch.float64) best tensor(4.8827, device='cuda:0', dtype=torch.float64) error tensor(2.7370, device='cuda:0', dtype=torch.float64) time 1588
iter 5800 eval tensor(4.8866, device='cuda:0', dtype=torch.float64) best tensor(4.8827, device='cuda:0', dtype=torch.float64) error tensor(2.6745, device='cuda:0', dtype=torch.float64) time 1616
iter 5900 eval tensor(4.8801, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.5300, device='cuda:0', dtype=torch.float64) time 1644
iter 6000 eval tensor(4.8889, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.7090, device='cuda:0', dtype=torch.float64) time 1672
iter 6100 eval tensor(4.8895, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.7210, device='cuda:0', dtype=torch.float64) time 1700
iter 6200 eval tensor(4.8908, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.7480, device='cuda:0', dtype=torch.float64) time 1727
iter 6300 eval tensor(4.8851, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.6300, device='cuda:0', dtype=torch.float64) time 1755
iter 6400 eval tensor(4.8815, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.5400, device='cuda:0', dtype=torch.float64) time 1783
iter 6500 eval tensor(4.8884, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.6885, device='cuda:0', dtype=torch.float64) time 1811
iter 6600 eval tensor(4.8843, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.5995, device='cuda:0', dtype=torch.float64) time 1839
iter 6700 eval tensor(4.8868, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.6640, device='cuda:0', dtype=torch.float64) time 1867
iter 6800 eval tensor(4.8901, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.7200, device='cuda:0', dtype=torch.float64) time 1895
iter 6900 eval tensor(4.8815, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.5430, device='cuda:0', dtype=torch.float64) time 1922
iter 7000 eval tensor(4.8859, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.6445, device='cuda:0', dtype=torch.float64) time 1950
iter 7100 eval tensor(4.8843, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.6215, device='cuda:0', dtype=torch.float64) time 1979
iter 7200 eval tensor(4.8854, device='cuda:0', dtype=torch.float64) best tensor(4.8801, device='cuda:0', dtype=torch.float64) error tensor(2.6375, device='cuda:0', dtype=torch.float64) time 2006
iter 7300 eval tensor(4.8793, device='cuda:0', dtype=torch.float64) best tensor(4.8793, device='cuda:0', dtype=torch.float64) error tensor(2.5035, device='cuda:0', dtype=torch.float64) time 2035
iter 7400 eval tensor(4.8822, device='cuda:0', dtype=torch.float64) best tensor(4.8793, device='cuda:0', dtype=torch.float64) error tensor(2.5640, device='cuda:0', dtype=torch.float64) time 2062
iter 7500 eval tensor(4.8785, device='cuda:0', dtype=torch.float64) best tensor(4.8785, device='cuda:0', dtype=torch.float64) error tensor(2.5015, device='cuda:0', dtype=torch.float64) time 2090
iter 7600 eval tensor(4.8919, device='cuda:0', dtype=torch.float64) best tensor(4.8785, device='cuda:0', dtype=torch.float64) error tensor(2.7830, device='cuda:0', dtype=torch.float64) time 2118
iter 7700 eval tensor(4.8743, device='cuda:0', dtype=torch.float64) best tensor(4.8743, device='cuda:0', dtype=torch.float64) error tensor(2.4015, device='cuda:0', dtype=torch.float64) time 2146
iter 7800 eval tensor(4.8806, device='cuda:0', dtype=torch.float64) best tensor(4.8743, device='cuda:0', dtype=torch.float64) error tensor(2.5355, device='cuda:0', dtype=torch.float64) time 2174
iter 7900 eval tensor(4.8831, device='cuda:0', dtype=torch.float64) best tensor(4.8743, device='cuda:0', dtype=torch.float64) error tensor(2.6060, device='cuda:0', dtype=torch.float64) time 2201
iter 8000 eval tensor(4.8826, device='cuda:0', dtype=torch.float64) best tensor(4.8743, device='cuda:0', dtype=torch.float64) error tensor(2.5985, device='cuda:0', dtype=torch.float64) time 2230
iter 8100 eval tensor(4.8746, device='cuda:0', dtype=torch.float64) best tensor(4.8743, device='cuda:0', dtype=torch.float64) error tensor(2.4395, device='cuda:0', dtype=torch.float64) time 2257
iter 8200 eval tensor(4.8771, device='cuda:0', dtype=torch.float64) best tensor(4.8743, device='cuda:0', dtype=torch.float64) error tensor(2.4935, device='cuda:0', dtype=torch.float64) time 2286
iter 8300 eval tensor(4.8776, device='cuda:0', dtype=torch.float64) best tensor(4.8743, device='cuda:0', dtype=torch.float64) error tensor(2.4815, device='cuda:0', dtype=torch.float64) time 2313
iter 8400 eval tensor(4.8721, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.3815, device='cuda:0', dtype=torch.float64) time 2341
iter 8500 eval tensor(4.8834, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.6140, device='cuda:0', dtype=torch.float64) time 2369
iter 8600 eval tensor(4.8893, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.7190, device='cuda:0', dtype=torch.float64) time 2397
iter 8700 eval tensor(4.8756, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.4435, device='cuda:0', dtype=torch.float64) time 2425
iter 8800 eval tensor(4.8774, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.4810, device='cuda:0', dtype=torch.float64) time 2453
iter 8900 eval tensor(4.8791, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.5155, device='cuda:0', dtype=torch.float64) time 2481
iter 9000 eval tensor(4.8783, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.4970, device='cuda:0', dtype=torch.float64) time 2510
iter 9100 eval tensor(4.8790, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.5270, device='cuda:0', dtype=torch.float64) time 2538
iter 9200 eval tensor(4.8760, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.4510, device='cuda:0', dtype=torch.float64) time 2566
iter 9300 eval tensor(4.8835, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.6075, device='cuda:0', dtype=torch.float64) time 2594
iter 9400 eval tensor(4.8730, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.3725, device='cuda:0', dtype=torch.float64) time 2622
iter 9500 eval tensor(4.8789, device='cuda:0', dtype=torch.float64) best tensor(4.8721, device='cuda:0', dtype=torch.float64) error tensor(2.5025, device='cuda:0', dtype=torch.float64) time 2650
iter 9600 eval tensor(4.8719, device='cuda:0', dtype=torch.float64) best tensor(4.8719, device='cuda:0', dtype=torch.float64) error tensor(2.3530, device='cuda:0', dtype=torch.float64) time 2677
iter 9700 eval tensor(4.8830, device='cuda:0', dtype=torch.float64) best tensor(4.8719, device='cuda:0', dtype=torch.float64) error tensor(2.5800, device='cuda:0', dtype=torch.float64) time 2705
iter 9800 eval tensor(4.8830, device='cuda:0', dtype=torch.float64) best tensor(4.8719, device='cuda:0', dtype=torch.float64) error tensor(2.5840, device='cuda:0', dtype=torch.float64) time 2733
iter 9900 eval tensor(4.8780, device='cuda:0', dtype=torch.float64) best tensor(4.8719, device='cuda:0', dtype=torch.float64) error tensor(2.4910, device='cuda:0', dtype=torch.float64) time 2762
iter 10000 eval tensor(4.8787, device='cuda:0', dtype=torch.float64) best tensor(4.8719, device='cuda:0', dtype=torch.float64) error tensor(2.5130, device='cuda:0', dtype=torch.float64) time 2789
iter 10100 eval tensor(4.8720, device='cuda:0', dtype=torch.float64) best tensor(4.8719, device='cuda:0', dtype=torch.float64) error tensor(2.3555, device='cuda:0', dtype=torch.float64) time 2817
iter 10200 eval tensor(4.8713, device='cuda:0', dtype=torch.float64) best tensor(4.8713, device='cuda:0', dtype=torch.float64) error tensor(2.3525, device='cuda:0', dtype=torch.float64) time 2845
iter 10300 eval tensor(4.8747, device='cuda:0', dtype=torch.float64) best tensor(4.8713, device='cuda:0', dtype=torch.float64) error tensor(2.4230, device='cuda:0', dtype=torch.float64) time 2873
iter 10400 eval tensor(4.8751, device='cuda:0', dtype=torch.float64) best tensor(4.8713, device='cuda:0', dtype=torch.float64) error tensor(2.4310, device='cuda:0', dtype=torch.float64) time 2901
iter 10500 eval tensor(4.8688, device='cuda:0', dtype=torch.float64) best tensor(4.8688, device='cuda:0', dtype=torch.float64) error tensor(2.2945, device='cuda:0', dtype=torch.float64) time 2928
iter 10600 eval tensor(4.8669, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.2425, device='cuda:0', dtype=torch.float64) time 2957
iter 10700 eval tensor(4.8727, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.3695, device='cuda:0', dtype=torch.float64) time 2985
iter 10800 eval tensor(4.8717, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.3490, device='cuda:0', dtype=torch.float64) time 3013
iter 10900 eval tensor(4.8690, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.2885, device='cuda:0', dtype=torch.float64) time 3040
iter 11000 eval tensor(4.8771, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.4740, device='cuda:0', dtype=torch.float64) time 3068
iter 11100 eval tensor(4.8708, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.3415, device='cuda:0', dtype=torch.float64) time 3096
iter 11200 eval tensor(4.8722, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.3745, device='cuda:0', dtype=torch.float64) time 3124
iter 11300 eval tensor(4.8719, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.3695, device='cuda:0', dtype=torch.float64) time 3152
iter 11400 eval tensor(4.8743, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.4085, device='cuda:0', dtype=torch.float64) time 3180
iter 11500 eval tensor(4.8734, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.3865, device='cuda:0', dtype=torch.float64) time 3208
iter 11600 eval tensor(4.8820, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.5585, device='cuda:0', dtype=torch.float64) time 3237
iter 11700 eval tensor(4.8686, device='cuda:0', dtype=torch.float64) best tensor(4.8669, device='cuda:0', dtype=torch.float64) error tensor(2.2995, device='cuda:0', dtype=torch.float64) time 3265
iter 11800 eval tensor(4.8667, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.2470, device='cuda:0', dtype=torch.float64) time 3293
iter 11900 eval tensor(4.8707, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3285, device='cuda:0', dtype=torch.float64) time 3321
iter 12000 eval tensor(4.8721, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3555, device='cuda:0', dtype=torch.float64) time 3349
iter 12100 eval tensor(4.8694, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.2910, device='cuda:0', dtype=torch.float64) time 3377
iter 12200 eval tensor(4.8763, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.4540, device='cuda:0', dtype=torch.float64) time 3405
iter 12300 eval tensor(4.8718, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3590, device='cuda:0', dtype=torch.float64) time 3433
iter 12400 eval tensor(4.8699, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3145, device='cuda:0', dtype=torch.float64) time 3461
iter 12500 eval tensor(4.8701, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3130, device='cuda:0', dtype=torch.float64) time 3490
iter 12600 eval tensor(4.8719, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3690, device='cuda:0', dtype=torch.float64) time 3518
iter 12700 eval tensor(4.8722, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3735, device='cuda:0', dtype=torch.float64) time 3546
iter 12800 eval tensor(4.8732, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.4040, device='cuda:0', dtype=torch.float64) time 3574
iter 12900 eval tensor(4.8688, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.2935, device='cuda:0', dtype=torch.float64) time 3603
iter 13000 eval tensor(4.8708, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3365, device='cuda:0', dtype=torch.float64) time 3631
iter 13100 eval tensor(4.8675, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.2720, device='cuda:0', dtype=torch.float64) time 3659
iter 13200 eval tensor(4.8698, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3340, device='cuda:0', dtype=torch.float64) time 3687
iter 13300 eval tensor(4.8755, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.4245, device='cuda:0', dtype=torch.float64) time 3715
iter 13400 eval tensor(4.8734, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3825, device='cuda:0', dtype=torch.float64) time 3743
iter 13500 eval tensor(4.8713, device='cuda:0', dtype=torch.float64) best tensor(4.8667, device='cuda:0', dtype=torch.float64) error tensor(2.3325, device='cuda:0', dtype=torch.float64) time 3772
iter 13600 eval tensor(4.8635, device='cuda:0', dtype=torch.float64) best tensor(4.8635, device='cuda:0', dtype=torch.float64) error tensor(2.1755, device='cuda:0', dtype=torch.float64) time 3800
iter 13700 eval tensor(4.8672, device='cuda:0', dtype=torch.float64) best tensor(4.8635, device='cuda:0', dtype=torch.float64) error tensor(2.2615, device='cuda:0', dtype=torch.float64) time 3828
iter 13800 eval tensor(4.8694, device='cuda:0', dtype=torch.float64) best tensor(4.8635, device='cuda:0', dtype=torch.float64) error tensor(2.2975, device='cuda:0', dtype=torch.float64) time 3856
iter 13900 eval tensor(4.8614, device='cuda:0', dtype=torch.float64) best tensor(4.8614, device='cuda:0', dtype=torch.float64) error tensor(2.1410, device='cuda:0', dtype=torch.float64) time 3885
iter 14000 eval tensor(4.8616, device='cuda:0', dtype=torch.float64) best tensor(4.8614, device='cuda:0', dtype=torch.float64) error tensor(2.1330, device='cuda:0', dtype=torch.float64) time 3912
iter 14100 eval tensor(4.8706, device='cuda:0', dtype=torch.float64) best tensor(4.8614, device='cuda:0', dtype=torch.float64) error tensor(2.3505, device='cuda:0', dtype=torch.float64) time 3941
iter 14200 eval tensor(4.8633, device='cuda:0', dtype=torch.float64) best tensor(4.8614, device='cuda:0', dtype=torch.float64) error tensor(2.2040, device='cuda:0', dtype=torch.float64) time 3969
iter 14300 eval tensor(4.8642, device='cuda:0', dtype=torch.float64) best tensor(4.8614, device='cuda:0', dtype=torch.float64) error tensor(2.2080, device='cuda:0', dtype=torch.float64) time 3998
iter 14400 eval tensor(4.8734, device='cuda:0', dtype=torch.float64) best tensor(4.8614, device='cuda:0', dtype=torch.float64) error tensor(2.4215, device='cuda:0', dtype=torch.float64) time 4026
iter 14500 eval tensor(4.8749, device='cuda:0', dtype=torch.float64) best tensor(4.8614, device='cuda:0', dtype=torch.float64) error tensor(2.4325, device='cuda:0', dtype=torch.float64) time 4054
